Name,Msg File,FRM file,Prefix,Location,Mod,TH Mod,Status,VoiceActor,Description,AuditionLineA,AuditionLineB,AuditionLineC,WikiLink,ImageFile,InVockScope,Companion,CompanionMod
Brother Matthew,abmatt,bmatt,bmatt,Abbey,VOCK,Talking Heads,Auditioning,,"A warm presence, Brother Matthew is the Abbey’s preacher and usually found holding a sermon for the locals and fellow monks.","Good people of the Abbey. Take a moment to listen, for I have much to say.","Greetings, friend. I don't think I have seen you around here before. My name is Brother Matthew and I help spread the word about the importance of preserving the knowledge of the old ones.","The Abbey is home to anyone, so long as they don't cause trouble. We are an independent community and rarely get visitors, such as yourself.",https://f2rp.bgforge.net/abbey/,abmatt.png,Yes,,
Abbey Merchant,abmerch1,merch,,Abbey,THAT,Talking Heads,Completed,<unknown>,,,,,https://f2rp.bgforge.net/abbey/,abmerch1.png,Yes,,
Peterson,abpetson,pet,pet,Abbey,VOCK,Talking Heads,Auditioning,,Mr. Peterson is a young man who owns a small farm near the Abbey’s cathedral.,"Hello, friend. Haven't seen you around here before. First time to the Abbey?","Let me tell ya, the Abbey might not be as flashy as New Reno, or as advanced as Vault City, but as far as I'm concerned, this place is about as good as it gets in the wastes.","Sorry pal, I've never heard of it. But if it has to do with pre-war times, then I bet there's something about it in the monastery's computers.",https://f2rp.bgforge.net/abbey/,abpetson.png,Yes,,
Klint,acklint,klint,,Arroyo,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Klint,acklint.png,Yes,,
Morlis,acmorlis,mor,mor,Arroyo,VOCK,Talking Heads,Auditioning,,"Old and bitter, Morlis is The Chosen One’s aunt who never had much affection for them.","Why do you bother me, nephew? Can't you see I'm busy?","He said what? Out with it, child!","Well, here you are again. Have you once again failed to complete your quest?",https://fallout.fandom.com/wiki/Morlis,acmorlis.png,Yes,,
Mynoc,acmynoc,mynoc,,Arroyo,THAT,Talking Heads,Completed,<unknown>,,,,,https://fallout.fandom.com/wiki/Mynoc,acmynoc.png,Yes,,
Cameron,actemvil,cam,,Arroyo,THAT,Talking Heads,Completed,Tom Demont,,,,,https://fallout.fandom.com/wiki/Cameron_(Arroyo),actemvil.png,Yes,,
Arroyo Elder,ahelder,elder,,Arroyo,FO2,Fallout 2,Completed,Flo DiRe,,,,,https://fallout.fandom.com/wiki/Arroyo_elder,ahelder.png,Yes,,
Hakunin,ahhakun,"hakun
haku2
haku3",,Arroyo,FO2,Fallout 2,Completed,Dwight Schultz,,,,,https://fallout.fandom.com/wiki/Hakunin,ahhakun.png,Yes,,
Abbot,ahmonk,abott,,Abbey,THAT,Talking Heads,Completed,<unknown>,,,,,https://f2rp.bgforge.net/abbey/,ahmonk.png,Yes,,
